iter	Passed	Remaining
172	1658	7930
173	1667	7914
174	1675	7900
175	1684	7886
176	1693	7873
177	1702	7863
178	1711	7850
179	1721	7841
180	1730	7828
181	1738	7814
182	1747	7800
183	1756	7789
184	1764	7772
185	1772	7757
186	1781	7744
187	1789	7728
188	1797	7715
189	1806	7700
190	1815	7690
191	1824	7677
192	1834	7669
193	1842	7655
194	1851	7644
195	1860	7633
196	1869	7619
197	1878	7607
198	1888	7600
199	1896	7587
200	1904	7571
201	1914	7562
202	1923	7551
203	1931	7538
204	1940	7526
205	1948	7511
206	1957	7497
207	1966	7486
208	1975	7477
209	1985	7468
210	1994	7457
211	2002	7442
212	2011	7433
213	2019	7418
214	2029	7408
215	2037	7396
216	2046	7384
217	2055	7374
218	2065	7365
219	2073	7351
220	2082	7341
221	2091	7330
222	2100	7319
223	2109	7307
224	2117	7294
225	2127	7285
226	2136	7274
227	2145	7263
228	2153	7248
229	2161	7236
230	2171	7227
231	2179	7214
232	2187	7201
233	2196	7190
234	2205	7179
235	2216	7175
236	2224	7162
237	2234	7153
238	2243	7142
239	2251	7130
240	2260	7118
241	2269	7107
242	2277	7095
243	2287	7088
244	2296	7075
245	2306	7069
246	2315	7058
247	2324	7047
248	2332	7036
249	2342	7028
250	2352	7018
251	2362	7011
252	2370	7000
253	2378	6985
254	2387	6975
255	2396	6963
256	2404	6951
257	2414	6943
258	2423	6933
259	2431	6920
260	2440	6909
261	2448	6897
262	2456	6885
263	2466	6876
264	2475	6865
265	2483	6853
266	2492	6843
267	2500	6830
268	2509	6820
269	2518	6809
270	2527	6798
271	2535	6785
272	2542	6771
273	2551	6760
274	2560	6750
275	2568	6738
276	2577	6726
277	2586	6717
278	2594	6705
279	2603	6693
280	2613	6688
281	2622	6676
282	2631	6667
283	2640	6656
284	2649	6646
285	2657	6634
286	2666	6623
287	2675	6614
288	2683	6601
289	2691	6590
290	2700	6580
291	2709	6570
292	2719	6562
293	2728	6553
294	2736	6540
295	2744	6528
296	2752	6516
297	2760	6503
298	2769	6492
299	2777	6480
300	2785	6469
301	2794	6457
302	2801	6445
303	2810	6434
304	2820	6425
305	2828	6414
306	2836	6403
307	2845	6393
308	2855	6385
309	2863	6374
310	2872	6364
311	2881	6353
312	2889	6341
313	2898	6331
314	2909	6327
315	2919	6319
316	2928	6309
317	2937	6299
318	2945	6288
319	2954	6278
320	2962	6267
321	2972	6258
322	2981	6250
323	2990	6238
324	2998	6226
325	3006	6215
326	3014	6203
327	3024	6196
328	3033	6186
329	3049	6191
330	3069	6204
331	3085	6207
332	3095	6200
333	3111	6203
334	3120	6194
335	3133	6191
336	3143	6183
337	3155	6179
338	3164	6169
339	3172	6158
340	3181	6147
341	3190	6139
342	3200	6129
343	3208	6118
344	3217	6109
345	3227	6100
346	3236	6090
347	3245	6080
348	3254	6070
349	3264	6062
350	3273	6051
351	3282	6042
352	3291	6032
353	3300	6023
354	3309	6013
355	3319	6005
356	3328	5994
357	3336	5984
358	3345	5973
359	3353	5962
360	3363	5953
361	3372	5942
362	3379	5931
363	3387	5919
364	3395	5908
365	3404	5897
366	3413	5886
367	3422	5877
368	3431	5867
369	3440	5857
370	3447	5845
371	3456	5835
372	3466	5826
373	3475	5817
374	3483	5806
375	3493	5797
376	3502	5788
377	3512	5780
378	3522	5770
379	3530	5760
380	3538	5749
381	3547	5738
382	3555	5728
383	3565	5719
384	3574	5709
385	3583	5699
386	3593	5691
387	3601	5681
388	3610	5670
389	3619	5661
390	3629	5653
391	3638	5643
392	3646	5632
393	3656	5624
394	3665	5613
395	3673	5603
396	3683	5594
397	3692	5584
398	3701	5574
399	3710	5566
400	3720	5558
401	3728	5546
402	3737	5537
403	3747	5527
404	3762	5527
405	3781	5533
406	3798	5534
407	3813	5532
408	3826	5529
409	3837	5522
410	3846	5512
411	3855	5502
412	3864	5492
413	3873	5483
414	3882	5473
415	3892	5464
416	3901	5454
417	3911	5445
418	3920	5435
419	3928	5425
420	3938	5416
421	3947	5406
422	3955	5395
423	3963	5384
424	3972	5374
425	3980	5363
426	3988	5352
427	3997	5342
428	4006	5333
429	4016	5324
430	4025	5314
431	4034	5305
432	4042	5294
433	4051	5283
434	4062	5276
435	4070	5265
436	4079	5256
437	4087	5245
438	4096	5235
439	4106	5226
440	4115	5216
441	4124	5206
442	4132	5195
443	4139	5184
444	4148	5174
445	4157	5164
446	4165	5153
447	4175	5144
448	4184	5134
449	4194	5126
450	4203	5116
451	4212	5107
452	4220	5096
453	4229	5086
454	4237	5075
455	4246	5065
456	4255	5056
457	4265	5047
458	4273	5036
459	4282	5027
460	4290	5016
461	4300	5008
462	4309	4998
463	4319	4989
464	4328	4979
465	4337	4970
466	4345	4959
467	4354	4950
468	4364	4941
469	4373	4931
470	4382	4922
471	4390	4911
472	4398	4901
473	4408	4891
474	4419	4884
475	4428	4874
476	4437	4865
477	4445	4855
478	4455	4846
479	4464	4837
480	4473	4826
481	4481	4816
482	4490	4806
483	4499	4796
484	4509	4788
485	4517	4778
486	4525	4766
487	4534	4757
488	4543	4748
489	4552	4738
490	4561	4729
491	4570	4719
492	4580	4710
493	4587	4699
494	4596	4688
495	4605	4679
496	4614	4670
497	4623	4660
498	4632	4650
499	4640	4640
500	4648	4629
501	4657	4620
502	4666	4610
503	4675	4601
504	4684	4591
505	4692	4581
506	4702	4572
507	4711	4563
508	4720	4553
509	4728	4542
510	4737	4533
511	4747	4524
512	4756	4515
513	4765	4505
514	4774	4496
515	4782	4485
516	4791	4476
517	4800	4467
518	4811	4459
519	4819	4448
520	4828	4439
521	4837	4429
522	4846	4419
523	4856	4411
524	4865	4402
525	4874	4392
526	4884	4384
527	4893	4374
528	4902	4365
529	4912	4356
530	4921	4347
531	4929	4336
532	4939	4327
533	4956	4325
534	4972	4321
535	4983	4313
536	4992	4304
537	5002	4296
538	5012	4287
539	5021	4277
540	5031	4268
541	5039	4258
542	5049	4249
543	5061	4242
544	5069	4232
545	5079	4223
546	5088	4214
547	5097	4204
548	5108	4196
549	5117	4186
550	5127	4178
551	5138	4170
552	5147	4160
553	5156	4151
554	5164	4140
555	5173	4131
556	5182	4121
557	5190	4111
558	5199	4101
559	5210	4093
560	5218	4083
561	5226	4073
562	5235	4063
563	5244	4054
564	5253	4044
565	5263	4035
566	5272	4026
567	5282	4017
568	5290	4007
569	5299	3998
570	5309	3989
571	5318	3979
572	5328	3970
573	5337	3960
574	5346	3951
575	5356	3943
576	5365	3933
577	5374	3924
578	5383	3914
579	5393	3905
580	5403	3896
581	5412	3887
582	5420	3876
583	5430	3868
584	5440	3859
585	5450	3850
586	5460	3841
587	5468	3831
588	5475	3820
589	5485	3811
590	5495	3802
591	5504	3793
592	5513	3784
593	5520	3773
594	5528	3763
595	5538	3754
596	5547	3744
597	5556	3735
598	5565	3725
599	5575	3716
600	5584	3707
601	5592	3697
602	5603	3689
603	5612	3679
604	5622	3670
605	5630	3660
606	5639	3651
607	5649	3642
608	5659	3633
609	5668	3623
610	5677	3614
611	5685	3604
612	5695	3595
613	5704	3586
614	5713	3576
615	5721	3566
616	5731	3557
617	5739	3547
618	5748	3538
619	5757	3528
620	5765	3518
621	5773	3508
622	5781	3498
623	5790	3489
624	5799	3479
625	5808	3470
626	5817	3461
627	5826	3451
628	5834	3441
629	5843	3431
630	5853	3423
631	5862	3413
632	5871	3404
633	5879	3394
634	5888	3384
635	5898	3375
636	5907	3366
637	5916	3357
638	5925	3347
639	5934	3338
640	5944	3329
641	5954	3320
642	5962	3310
643	5970	3300
644	5979	3291
645	5988	3281
646	5997	3272
647	6006	3262
648	6015	3253
649	6023	3243
650	6032	3233
651	6039	3223
652	6047	3213
653	6058	3205
654	6066	3195
655	6075	3185
656	6084	3176
657	6093	3166
658	6102	3157
659	6111	3148
660	6120	3138
661	6129	3129
662	6137	3119
663	6146	3110
664	6154	3100
665	6163	3090
666	6171	3081
667	6179	3071
668	6188	3061
669	6197	3052
670	6205	3042
671	6216	3034
672	6224	3024
673	6234	3015
674	6244	3006
675	6252	2996
676	6260	2987
677	6268	2977
678	6277	2967
679	6285	2958
680	6294	2948
681	6303	2939
682	6312	2930
683	6321	2920
684	6330	2910
685	6338	2901
686	6348	2892
687	6357	2883
688	6367	2874
689	6377	2865
690	6385	2855
691	6395	2846
692	6404	2837
693	6412	2827
694	6420	2817
695	6428	2808
696	6436	2798
697	6444	2788
698	6453	2779
699	6463	2769
700	6472	2760
701	6481	2751
702	6490	2741
703	6498	2732
704	6507	2723
705	6516	2713
706	6524	2703
707	6533	2694
708	6541	2684
709	6549	2675
710	6558	2666
711	6566	2656
712	6574	2646
713	6584	2637
714	6593	2627
715	6602	2618
716	6611	2609
717	6620	2600
718	6628	2590
719	6637	2581
720	6646	2572
721	6654	2562
722	6663	2552
723	6671	2543
724	6682	2534
725	6691	2525
726	6700	2516
727	6712	2507
728	6720	2498
729	6729	2488
730	6737	2479
731	6747	2470
732	6756	2460
733	6765	2451
734	6774	2442
735	6784	2433
736	6792	2423
737	6801	2414
738	6810	2405
739	6818	2395
740	6827	2386
741	6836	2377
742	6845	2367
743	6854	2358
744	6864	2349
745	6873	2340
746	6882	2330
747	6891	2321
748	6901	2312
749	6910	2303
750	6918	2294
751	6927	2284
752	6939	2276
753	6949	2267
754	6957	2257
755	6965	2248
756	6973	2238
757	6981	2228
758	6991	2219
759	6999	2210
760	7009	2201
761	7017	2191
762	7024	2182
763	7034	2172
764	7043	2163
765	7051	2154
766	7059	2144
767	7068	2135
768	7076	2125
769	7085	2116
770	7093	2106
771	7103	2097
772	7111	2088
773	7119	2078
774	7128	2069
775	7137	2060
776	7145	2050
777	7154	2041
778	7163	2032
779	7171	2022
780	7181	2013
781	7190	2004
782	7199	1995
783	7207	1985
784	7216	1976
785	7224	1967
786	7233	1957
787	7241	1948
788	7251	1939
789	7259	1929
790	7268	1920
791	7278	1911
792	7285	1901
793	7296	1892
794	7305	1883
795	7314	1874
796	7324	1865
797	7333	1856
798	7342	1847
799	7351	1837
800	7360	1828
801	7367	1819
802	7376	1809
803	7385	1800
804	7395	1791
805	7404	1782
806	7414	1773
807	7423	1764
808	7432	1754
809	7442	1745
810	7452	1736
811	7461	1727
812	7469	1718
813	7479	1709
814	7488	1699
815	7497	1690
816	7507	1681
817	7516	1672
818	7524	1663
819	7534	1653
820	7544	1644
821	7554	1635
822	7564	1626
823	7572	1617
824	7581	1608
825	7590	1598
826	7598	1589
827	7607	1580
828	7615	1570
829	7624	1561
830	7633	1552
831	7642	1543
832	7652	1534
833	7661	1524
834	7670	1515
835	7679	1506
836	7688	1497
837	7697	1488
838	7706	1478
839	7715	1469
840	7725	1460
841	7733	1451
842	7741	1441
843	7750	1432
844	7758	1423
845	7766	1413
846	7776	1404
847	7785	1395
848	7795	1386
849	7803	1377
850	7811	1367
851	7820	1358
852	7828	1349
853	7838	1340
854	7847	1330
855	7856	1321
856	7865	1312
857	7874	1303
858	7883	1294
859	7893	1284
860	7902	1275
861	7911	1266
862	7920	1257
863	7930	1248
864	7939	1239
865	7948	1229
866	7956	1220
867	7965	1211
868	7975	1202
869	7983	1193
870	7992	1183
871	8001	1174
872	8009	1165
873	8019	1156
874	8028	1146
875	8038	1137
876	8046	1128
877	8055	1119
878	8064	1110
879	8072	1100
880	8081	1091
881	8090	1082
882	8099	1073
883	8108	1064
884	8116	1054
885	8126	1045
886	8137	1036
887	8149	1027
888	8158	1018
889	8167	1009
890	8177	1000
891	8186	991
892	8195	982
893	8205	972
894	8214	963
895	8222	954
896	8231	945
897	8239	935
898	8248	926
899	8255	917
900	8264	908
901	8274	898
902	8284	889
903	8293	880
904	8301	871
905	8310	862
906	8320	853
907	8330	844
908	8339	834
909	8347	825
910	8357	816
911	8366	807
912	8375	798
913	8385	788
914	8394	779
915	8403	770
916	8412	761
917	8421	752
918	8433	743
919	8442	734
920	8451	724
921	8459	715
922	8468	706
923	8478	697
924	8488	688
925	8497	679
926	8506	669
927	8516	660
928	8525	651
929	8534	642
930	8543	633
931	8551	623
932	8560	614
933	8569	605
934	8577	596
935	8586	587
936	8595	577
937	8604	568
938	8612	559
939	8621	550
940	8629	541
941	8638	531
942	8648	522
943	8656	513
944	8665	504
945	8673	495
946	8682	485
947	8692	476
948	8702	467
949	8710	458
950	8719	449
951	8727	440
952	8737	430
953	8747	421
954	8755	412
955	8764	403
956	8773	394
957	8782	385
958	8791	375
959	8799	366
960	8808	357
961	8816	348
962	8824	339
963	8834	329
964	8842	320
965	8852	311
966	8860	302
967	8869	293
968	8877	284
969	8887	274
970	8896	265
971	8905	256
972	8915	247
973	8925	238
974	8934	229
975	8943	219
976	8953	210
977	8961	201
978	8970	192
979	8979	183
980	8989	174
981	8998	164
982	9007	155
983	9017	146
984	9026	137
985	9036	128
986	9045	119
987	9054	109
988	9064	100
989	9073	91
990	9083	82
991	9092	73
992	9101	64
993	9110	54
994	9119	45
995	9129	36
996	9139	27
997	9148	18
998	9158	9
999	9167	0
